query size,batch_size,model,framework,data loading time,sklearn loading time,dense_conversion,inference time,result writing time,conversion time,total framework time
1,1,randomforest,NvidiaFILGPU,243.38030815124512,615.5695915222168,3.3239939212799072,49194.26155090332,4.210472106933594,7976.38463973999,57174.912214279175
10,10,randomforest,NvidiaFILGPU,243.83997917175293,455.2462100982666,1.5142180919647217,65456.061601638794,2.839803695678711,3375.115156173706,68834.07688140869
100,100,randomforest,NvidiaFILGPU,246.09708786010742,459.136962890625,1.2985320091247559,63958.741903305054,2.770662307739258,3395.994186401367,67357.56945610046
1000,1000,randomforest,NvidiaFILGPU,241.95122718811035,447.33285903930664,1.3009965419769287,66433.5126876831,2.8069019317626953,3367.375135421753,69803.76052856445
1,1,xgboost,NvidiaFILGPU,243.3476448059082,590.1689529418945,5.728173732757568,28238.4774684906,2.7403831481933594,3528.4974575042725,31769.78373527527
10,10,xgboost,NvidiaFILGPU,242.99192428588867,441.6036605834961,1.3276393413543701,27835.488080978394,2.737760543823242,3316.2128925323486,31154.50692176819
100,100,xgboost,NvidiaFILGPU,245.80812454223633,468.3108329772949,1.3265912532806396,25981.204748153687,2.757549285888672,3330.960988998413,29315.001010894775
1000,1000,xgboost,NvidiaFILGPU,243.3912754058838,529.5414924621582,1.3094549179077148,27344.184637069702,2.6776790618896484,3321.316719055176,30668.26105117798
1,1,lightgbm,NvidiaFILGPU,243.27564239501953,1755.753755569458,2.7007834911346436,49180.24563789368,2.8672218322753906,3756.399393081665,52939.57567214966
10,10,lightgbm,NvidiaFILGPU,243.27588081359863,1255.0771236419678,1.5237035751342773,64711.69447898865,2.943754196166992,3519.8583602905273,68234.56358909607
100,100,lightgbm,NvidiaFILGPU,243.1802749633789,1243.8139915466309,1.312298059463501,64288.012981414795,2.8717517852783203,3544.001579284668,67834.95616912842
1000,1000,lightgbm,NvidiaFILGPU,243.44968795776367,1246.0415363311768,1.2987120151519775,66377.28142738342,2.8417110443115234,3540.7238006591797,69920.91727256775
